Name_GA,Latitude,Longitude,County
Aontroim Íochtarach,54.871450890047,-6.23117686658579,Antrim
Aontroim Uachtarach,54.733640831707206,-6.077806929586671,Antrim
Béal Feirste Íochtarach,54.737504461865,-5.87254221822789,Antrim
Béal Feirste Uachtarach,54.59731631305131,-5.981863986435781,Antrim
Carraig Fhearghais,54.72033107673341,-5.82078066274359,Antrim
Cathraí,55.1987570752527,-6.27722901265345,Antrim
Dún Libhse Íochtarach,55.17354988205391,-6.534367495682581,Antrim
Dún Libhse Uachtarach,55.0571510288352,-6.3895160509862805,Antrim
Gleann Arma Íochtarach,55.02266876574559,-6.045302416946619,Antrim
Gleann Arma Uachtarach,54.8619632853216,-5.86872969300424,Antrim
Coill Chonmhaí,54.98964192550151,-6.381293749238071,Antrim
Mása Ríona Íochtarach,54.6531650524384,-6.19993447459303,Antrim
Mása Ríona Uachtarach,54.54539657756389,-6.19071796853425,Antrim
Tuaim Íochtarach,54.8432604397562,-6.37656664804985,Antrim
Tuaim Uachtarach,54.7495780458764,-6.36754805705689,Antrim
Achadh Eochaille,54.8723335505257,-6.34081047962066,Antrim
Baile Cloig,54.8498706502042,-6.235341154514351,Antrim
Coinnire,54.8355455655212,-6.280060509489761,Antrim
Gleann an Choire,54.8234113914493,-6.070474505467431,Antrim
Ráth Cabháin,54.8536172878617,-6.28706827711602,Antrim
Aontroim,54.7178007717809,-6.215192380084538,Antrim
Gráinseach Dhumhaí,54.7503226908552,-5.99627888062128,Antrim
Baile an Iúir,54.767500652499606,-5.948805457004041,Antrim
Carn Monaidh,54.6752065514607,-5.937954517237221,Antrim
An Gleann,54.818068260010506,-5.759507039285721,Antrim
Inbhear,54.8442894869936,-5.833731881533841,Antrim
Oileán Mhic Aodha,54.8131452292585,-5.73646055391075,Antrim
An tSeanchill,54.6032700326606,-5.970091983503972,Antrim
Doire Eachaidh,54.5447250891677,-6.06305068670707,Antrim
An Droim Beag,54.54830122569611,-6.006193903396521,Antrim
Carraig Fhearghais,54.72033107673341,-5.82078066274359,Antrim
Oirthear Maí,55.1407401640815,-6.259097134813751,Antrim
Baile an Tuaighe,55.21848149525961,-6.35786705748566,Antrim
Bile,55.21200486690711,-6.48226294415092,Antrim
Cúil Eachtrann,55.1906594081152,-6.11246345848183,Antrim
Gráinseach Dhroim Tulcha,55.1518599774486,-6.415515839752741,Antrim
Ráth Muáin,55.1810353521508,-6.24950103438091,Antrim
Reachlainn,55.3016809241476,-6.20481510466025,Antrim
Baile an Mhuilinn,55.199595296981,-6.649238119586671,Antrim
Doire Caocháin,55.125718477598205,-6.479267320827939,Antrim
Dún Libhse,55.1826587848495,-6.543820666045921,Antrim
Baile Monaidh,55.0764025961805,-6.48891344990292,Antrim
Cill Reachtais,54.9810342288332,-6.4066291048348,Antrim
Loch gCaol,55.060971990870506,-6.33770877744176,Antrim
Ard Claoininse,55.0151804410691,-5.98307494891889,Antrim
Leithead,55.0575245246555,-6.10224016061791,Antrim
Carn an Chaistil,54.8918498539849,-5.864541441923121,Antrim
Cill Uachtair,54.8377099447329,-5.85183297639017,Antrim
Latharna,54.8832690687298,-5.88839965973709,Antrim
An Fhionnbhoith,54.9996575691693,-6.457991866785189,Antrim
Ros Earcáin,54.9577357271726,-6.45960309725499,Antrim
Cill Éad,54.6459627429584,-6.218342000285379,Antrim
Gráinseach Mhaigh Chomair,54.6993808572148,-6.184971824901871,Antrim
Achadh Gallan,54.53952988034501,-6.315705705683891,Antrim
Baile an Doire,54.54748194591101,-6.243248584807229,Antrim
Bláras,54.50440780293351,-6.070097049750302,Antrim
Camlinn,54.6190232302917,-6.21951952529968,Antrim
Machaire na gCeall,54.51034129238501,-6.16247823129803,Antrim
Tulaigh Roisc,54.6086427081681,-6.12709114301339,Antrim
Gráinseach Bhaile Uí Scoillín,54.8016297366101,-6.42924938501698,Antrim
Droim Málla,54.776367488348605,-6.331790499449281,Antrim
Dún Dá Éan,54.70044170279251,-6.42148074637261,Antrim
An Baile Caol,54.8533967067057,-6.27150402058674,Antrim
Baile Aodha,54.85383587496861,-6.302632744718611,Antrim
Carn Coim,54.80273841908424,-6.184567879455521,Antrim
Carn Éireann,54.8355455655212,-6.280060509489761,Antrim
Coinnire,54.80684568887529,-6.208087491392184,Antrim
Sleacht,54.82978964905929,-6.29643591063651,Antrim
Gleann an Choire,54.8234113914493,-6.070474505467431,Antrim
Baile an Gheallaidh,54.875818822029416,-6.141620923763462,Antrim
Bocshnámh,54.89275145940588,-6.053000945199086,Antrim
Achadh Pheatan,54.9224243995378,-6.081338654668529,Antrim
An Coirrín,54.91931099511985,-6.207878530086292,Antrim
Lios an Chrochaire,54.93213191584853,-6.271208055142104,Antrim
Baile Uí Mháirtín,54.95734669124671,-6.226329605372505,Antrim
Ráth Cheinnigh,54.9339907143121,-6.25244372088501,Antrim
Halla na Páirce,54.7178007717809,-6.215192380084538,Antrim
Rathain Rátha,54.71835116844982,-6.180229870809361,Antrim
Baile Uistín,54.7682796769713,-5.99539142244375,Antrim
An Choillidh Leathan,54.8239251740807,-6.004632097453839,Antrim
Bealach Cláir,54.7503226908552,-5.99627888062128,Antrim
Dumhach,54.7503226908552,-5.99627888062128,Antrim
Dún Eadradh,54.698675240487,-6.13845959279707,Antrim
An tOileán Riabhach,54.701778590705565,-6.151560659372412,Antrim
Luachair Mhór,54.71428099571921,-6.123303476041231,Antrim
Ráth Sí,54.76891310320152,-6.036339929402697,Antrim
An tSráid,54.7503226908552,-5.99627888062128,Antrim
Carn Monaidh,54.677279723593664,-5.95116222151012,Antrim
Gleann Ghormlaithe,54.660280146743,-5.985213643960071,Antrim
Baile na Manach,54.685901493259,-5.90639252730425,Antrim
An Mhainistir Fhionn,54.6766546662662,-5.891361508124419,Antrim
An Teach Geal,54.6589671207344,-5.90777818160343,Antrim
Baile an Longfoirt,54.84561470196255,-5.785897559601212,Antrim
Baile Strudair,54.77907756460386,-5.71875527677773,Antrim
Port Muc,54.84589499125899,-5.727985972136389,Antrim
Cill Ruaidh,54.72585813735978,-5.757729358041021,Antrim
Baile an Tí,54.78218878349664,-5.804892256921579,Antrim
Baile Cora Thiar Thuaidh,54.77996415463073,-5.765726310666479,Antrim
Baile Cora Thiar Theas,54.76581022827323,-5.754749457174524,Antrim
Doire Eachaidh,54.54145799508917,-6.0343391624558285,Antrim
Dún Muirígh,54.544066420955,-6.02185837461104,Antrim
Baile Uí Mhurchú,54.59386915233126,-5.999733900248449,Antrim
An Sliabh Dubh,54.59008706935071,-6.019696596408363,Antrim
Duibhis,54.60278523529751,-6.026231726237878,Antrim
Dún Muirígh,54.544066420955,-6.02185837461104,Antrim
Cloch Mhic Coisteala,54.64127717933171,-5.92418045100586,Antrim
Baile Haine,54.5884509885164,-5.988761409491641,Antrim
Lag an Aoil,54.6246220238003,-6.002463691338471,Antrim
Maigh Lón Uachtair,54.53432100094751,-5.975971960134581,Antrim
Sceitheog an Iarla,54.62332061137429,-5.925095119878489,Antrim
Teampall Phádraig,54.70590472992241,-6.09583035041921,Antrim
Carraig Fhearghais,54.72016904289549,-5.81148381694794,Antrim
Baile an Tuaighe,55.232056645139,-6.365165795961119,Antrim
Creag na Leapan,55.209997090694415,-6.386805610285124,Antrim
Cúl re Seisceann,55.23512401806973,-6.437513853395968,Antrim
Droim na Gaoithe,55.21484959982467,-6.433418938689451,Antrim
Droim na gCeasán,55.21374936071231,-6.445026889265024,Antrim
Lag an Bháire,55.21832745660885,-6.365721665729215,Antrim
Machaire Caisil,55.20490634538021,-6.350568319010201,Antrim
An Pháirc,55.23457094406663,-6.394147019332427,Antrim
An Dumhaigh,55.22123266921707,-6.52527804123684,Antrim
Dún Sobhairce,55.2332834344255,-6.45944390793879,Antrim
Baile na gCloch,55.20400057018988,-6.195607854970182,Antrim
Baile Bhóidh,55.1937030388358,-6.193969463738891,Antrim
Machaire an Teampaill,55.19057852994725,-6.206218498677274,Antrim
Bun Abhann Duinne,55.11970330398051,-6.05621280920361,Antrim
Droim an Chamáin,55.19838267140122,-6.223867405682262,Antrim
Mas Saíde,55.1518599774486,-6.415515839752741,Antrim
Caisteal an Chába,55.16562665496685,-6.295536342377365,Antrim
Cloch Dhún Muirígh,55.16851439963585,-6.290720106249138,Antrim
Maolaird,55.18821237963646,-6.228528638252007,Antrim
Creag Mhic Ágáin,55.2814159574604,-6.179210503193369,Antrim
Ráth Mhallacht Thuaidh,55.17254940379249,-6.564540575263422,Antrim
Ráth Mhallacht Theas,55.16965413930392,-6.560199000160717,Antrim
An Corrbhaile,55.18642679154298,-6.622828724340481,Antrim
Port Rois,55.199595296981,-6.649238119586671,Antrim
Caiseal Cait,55.17100751046351,-6.50893685243618,Antrim
Lios Cholmáin,55.16144263199,-6.462215008426199,Antrim
Baile na Faiche,55.11759068542157,-6.413788441824831,Antrim
Doire Caocháin,55.13959106475003,-6.494659192560027,Antrim
Dearbhóg,55.12304953688206,-6.466563924784964,Antrim
Baile an Bhogaigh,55.1266712564702,-6.557627135178679,Antrim
Baile Mhic Fhearaígh,55.201628073322304,-6.595529776272547,Antrim
Muileann na Buaise,55.1981395240959,-6.52363044838118,Antrim
Dún Libhse,55.21167850791876,-6.576357379170351,Antrim
Liag,55.19620053761862,-6.574827668217374,Antrim
Tóin re Gaoith,55.20739114834893,-6.595311128990284,Antrim
Bun Dúraí,55.0458452685969,-6.560533641277161,Antrim
Drochain Dolc Thoir,55.09122347462648,-6.51114884834806,Antrim
Drochain Dolc Thiar,55.09200244056052,-6.519124754201104,Antrim
Carn na Cille,55.10614172821563,-6.474233292625509,Antrim
Sraith Nócam,55.106959923764,-6.41729325852867,Antrim
Droim na bPiast,55.05610335528436,-6.395449281964137,Antrim
Cill Reachtais,54.9810342288332,-6.4066291048348,Antrim
Droim Dallach,55.0881701816974,-6.35537772684436,Antrim
Cnoc an Chollait,55.0434810580221,-6.37285670515276,Antrim
Fáras,55.0522508543422,-6.35685054125854,Antrim
Ard Claoininse,55.05342604103213,-6.0097039391398335,Antrim
Gleann Aireamh Uachtarach Thoir,55.0151804410691,-5.98307494891889,Antrim
Gleann Aireamh Uachtarach Thiar,55.0151804410691,-5.98307494891889,Antrim
Gleann Aireamh Íochtarach,55.03334248599531,-6.038072364475541,Antrim
Ardaidh Chuain,55.125878584517366,-6.067875304127687,Antrim
Baile na Luachra,54.66152805308237,-6.080685334900523,Antrim
Bun Abhann Dalla,55.08317505916161,-6.068942337027776,Antrim
Cnoc na Cora,55.11970330398051,-6.05621280920361,Antrim
Lúb an tSámhais,55.09021921846035,-6.093024944066339,Antrim
Maolaird,55.11068424841586,-6.079694780811404,Antrim
Cuan an Deirg,55.0660418315281,-6.057618560745171,Antrim
Carn Albanach,54.9034670120929,-6.019866042049621,Antrim
Baile Geithligh,54.89679250882725,-5.856120334511045,Antrim
Droim na gCritheach,54.8918498539849,-5.864541441923121,Antrim
Creag na hEorna,54.8156768855958,-5.901739068641713,Antrim
Na Creaga,54.9085711549915,-6.36270911579108,Antrim
An Garraí Dubh,55.04117917494838,-6.450697531963849,Antrim
An Carraigín,54.99528758406719,-6.170337345242592,Antrim
Eibhis an Chró,55.01018153829707,-6.167351194577267,Antrim
Ard na gCros,54.9816389410799,-6.453473644943041,Antrim
Baile Mhic Ualraic,55.00054652518735,-6.412026645036561,Antrim
Na Creaga,54.99366135652684,-6.460529623937476,Antrim
Dún Lathaí,55.01176535960455,-6.406865055775244,Antrim
Baile Shudarlan,54.964526085164565,-6.334471037121857,Antrim
Droim na gCliath,54.994866062166864,-6.350774629616553,Antrim
Muileann na Cloiche,55.00713861950821,-6.343066135520641,Antrim
An Sceire Thoir,54.99446318963242,-6.211126154151591,Antrim
An Sceire Thiar,54.99617140823951,-6.233039887973954,Antrim
