w2,w1,count_w1_w2,count_w1,count_w2,pmi,sppmi,k11,k12,k21,k22,row1,row2,col1,col2,LLR_Score
átha,béal,338,479,503,6.595908702021472,5.595908702021472,338,141,165,68309,479,68474,503,68450,3052.946477504199
uí,baile,1270,8348,2121,2.3061946922501324,1.3061946922501324,1270,7078,851,59754,8348,60605,2121,66832,2875.503517273127
tí,áit,54,62,152,8.626089379614003,7.626089379614003,54,8,98,68793,62,68891,152,68801,634.9385825296226
nua,baile,280,8348,470,2.298876886501126,1.2988768865011262,280,8068,190,60415,8348,60605,470,68483,604.0900897373565
bhfianna,páirc,60,599,64,6.753804104100729,5.753804104100729,60,539,4,68350,599,68354,64,68889,545.816918776802
chaol,cheathrú,49,300,73,7.269392296020305,6.269392296020305,49,251,24,68629,300,68653,73,68880,449.0218364497768
giolla,mac,55,980,58,6.060066480675512,5.060066480675512,55,925,3,67970,980,67973,58,68895,447.4693710879384
mac,baile,368,8348,981,1.6315634459589339,0.6315634459589339,368,7980,613,59992,8348,60605,981,67972,422.7544627650542
bhríde,cill,70,2693,107,4.066143217323143,3.066143217323143,70,2623,37,66223,2693,66260,107,68846,320.6376995244925
dhiarmada,leaba,23,59,40,9.392316513088804,8.392316513088804,23,36,17,68877,59,68894,40,68913,280.8199657536094
caoin,cluain,60,1448,141,4.340819057407514,3.340819057407514,60,1388,81,67424,1448,67505,141,68812,277.0290028780229
cille,cholm,22,22,145,8.89341661126606,7.89341661126606,22,0,123,68808,22,68931,145,68808,274.7494833498466
choileáin,uí,42,2137,46,4.880709975342931,3.8807099753429313,42,2095,4,66812,2137,66816,46,68907,265.6897770140927
domhnaigh,rí,20,29,49,9.922562956925576,8.922562956925576,20,9,29,68895,29,68924,49,68904,263.62993284646853
riabhach,cheathrú,46,300,307,5.105974121471947,4.105974121471947,46,254,261,68392,300,68653,307,68646,250.215749184056
mhuire,cill,61,2693,111,3.814648657992103,2.814648657992103,61,2632,50,66210,2693,66260,111,68842,248.0661730379693
dhálaigh,uí,34,2137,34,5.011954508621184,4.011954508621184,34,2103,0,66816,2137,66816,34,68919,236.7605746328329
re,tóin,21,148,26,8.555750040289714,7.555750040289714,21,127,5,68800,148,68805,26,68927,235.73361023089168
gaoith,tóin,23,148,40,8.065506196821696,7.065506196821696,23,125,17,68788,148,68805,40,68913,231.90357822661417
ghráinne,dhiarmada,15,20,28,10.850933279944547,9.850933279944547,15,5,13,68920,20,68933,28,68925,221.8258593710853
ghleann,abhainn,34,519,92,5.61763585811644,4.61763585811644,34,485,58,68376,519,68434,92,68861,214.34605166851475
