County,top_common_tf,top_unique_tfidf
Clare,"['baile', 'cill', 'uí', 'cnoc', 'mór']","['cathair', 'drom', 'ráithíní', 'madaí', 'gráig']"
Dublin,"['baile', 'cill', 'ráth', 'cnoc', 'cluain']","['chnapóg', 'déan', 'chaoimhín', 'tsí', 'choille']"
Antrim,"['baile', 'gleann', 'dún', 'droim', 'carn']","['brosnach', 'stualaire', 'ceannaigh', 'gcraiceann', 'duimhche']"
Kildare,"['baile', 'cill', 'cnoc', 'mór', 'uí']","['máirtín', 'bhairéadaigh', 'bhailisigh', 'bheithíneach', 'chríodáin']"
Wicklow,"['baile', 'uachtarach', 'íochtarach', 'cill', 'cnoc']","['bréan', 'maothail', 'seandún', 'searrach', 'buaile']"
Carlow,"['baile', 'cill', 'ráth', 'uí', 'cnoc']","['tseanaigh', 'lorg', 'easra', 'meannáin', 'cearna']"
Armagh,"['baile', 'doire', 'mór', 'droim', 'loch']","['bhrain', 'corcra', 'cheathrair', 'rampar', 'mhinín']"
Kerry,"['baile', 'cill', 'cnoc', 'mór', 'uí']","['drom', 'cuas', 'com', 'cathair', 'faill']"
Kilkenny,"['baile', 'cill', 'ráth', 'uí', 'cnoc']","['cré', 'oidhre', 'logach', 'bhfuinseog', 'gcolmán']"
Cavan,"['droim', 'corr', 'loch', 'lios', 'doire']","['fheorais', 'coillidh', 'deilgne', 'fharnochta', 'corr']"
Fermanagh,"['droim', 'doire', 'achadh', 'inis', 'loch']","['leachtaí', 'feá', 'bhoilg', 'luan', 'mhaighreáin']"
Donegal,"['loch', 'mór', 'baile', 'cnoc', 'mín']","['ruáin', 'geal', 'trá', 'tor', 'mín']"
Galway,"['loch', 'baile', 'mór', 'oileán', 'cill']","['cathair', 'pollach', 'oileán', 'beithe', 'néan']"
Cork,"['baile', 'cill', 'cnoc', 'uí', 'thiar']","['drom', 'cathair', 'leice', 'com', 'bhuiríos']"
Down,"['baile', 'droim', 'cill', 'mór', 'mac']","['seoin', 'raite', 'toinn', 'tearmaid', 'tsaighdiúra']"
Derry,"['baile', 'uí', 'cúl', 'mór', 'droim']","['ardoileán', 'bhoscaigh', 'seanchill', 'haibhle', 'shannon']"
Wexford,"['baile', 'cill', 'uí', 'beag', 'mór']","['raithní', 'magh', 'ráithín', 'gainimh', 'táthán']"
Leitrim,"['droim', 'corr', 'achadh', 'mór', 'lios']","['pholaird', 'corr', 'leathbhaile', 'charraigeach', 'málainn']"
Limerick,"['baile', 'tobar', 'cnoc', 'uí', 'cill']","['drom', 'cathair', 'cnoicín', 'tobar', 'naomh']"
Mayo,"['baile', 'mór', 'cnoc', 'cluain', 'doire']","['tóchair', 'gob', 'cathair', 'daingin', 'ceathrú']"
Westmeath,"['baile', 'cill', 'ráth', 'átha', 'mór']","['mheasaigh', 'áithe', 'bhrídeáin', 'mhíolach', 'briotáin']"
Louth,"['baile', 'droim', 'ráth', 'dún', 'mór']","['eachroim', 'sheonac', 'scioból', 'phiarais', 'farnocht']"
Longford,"['baile', 'cluain', 'lios', 'achadh', 'mór']","['néan', 'súil', 'coirib', 'sunda', 'scadán']"
Laois,"['baile', 'cluain', 'uí', 'mór', 'cill']","['eidhinn', 'ceapach', 'dhónalláin', 'cladán', 'ráithín']"
Tyrone,"['mór', 'baile', 'droim', 'uí', 'cill']","['aontroim', 'failleán', 'máma', 'meathán', 'samhaoir']"
Roscommon,"['cluain', 'cill', 'baile', 'mór', 'loch']","['teasán', 'bháinseach', 'choirrín', 'leacaí', 'fhearga']"
Offaly,"['baile', 'cluain', 'mór', 'cill', 'doire']","['críonach', 'gcolm', 'aoiligh', 'thomáisín', 'chunlaigh']"
Tipperary,"['baile', 'cill', 'uí', 'cnoc', 'mór']","['drom', 'sailí', 'lisín', 'iolra', 'habha']"
Monaghan,"['droim', 'corr', 'lios', 'doire', 'achadh']","['coillidh', 'corr', 'phiarais', 'úll', 'tamhnaigh']"
Meath,"['baile', 'ráth', 'cill', 'mór', 'uí']","['daoil', 'chaoimhín', 'ruaige', 'airglinn', 'tancardaigh']"
Sligo,"['baile', 'ceathrú', 'uí', 'mór', 'cnoc']","['ceathrú', 'corrbhaile', 'chalbhaigh', 'chnoc', 'clochair']"
Waterford,"['baile', 'cill', 'cnoc', 'uí', 'thoir']","['drom', 'ré', 'bhacáin', 'síol', 'chruimthir']"
